Symbol	Name	USSymbol	Sector	OTC
PHS.U:TSX	Sprott Physical Silver Trust		 Closed-End Funds 	 NYSE Arca
SGL:TSX	Spyglass Resources Corp.		 Oil & Gas 	 OTCQX
SQD:TSXV	SQI Diagnostics Inc.		Life Sciences	OTCQX
SAS:TSX	St Andrew Goldfields Ltd.		 Mining 	 OTCQX
SGH:TSXV	Standard Graphite Corporation		Mining	OTCQX
HRE:TSXV	Stans Energy Corp.		Mining	OTCQX
STN:TSX	Stantec Inc.	STN:US	 Diversified Industries 	 NYSE
SXE:TSXV	Strata-X Energy Ltd.		Oil & Gas	ASX
STB:TSX	Student Transportation Inc.	STB:US	 Diversified Industries 	 NasdaqGM
SLF:TSX	Sun Life Financial Inc.	SLF:US	 Financial Services 	 NYSE
SU:TSX	Suncor Energy Inc.	SU:US	 Oil & Gas 	 NYSE
SOY:TSX	SunOpta Inc.	STKL:US	 Clean Technology 	 NasdaqGM
SGC:TSXV	Sunridge Gold Corp.		Mining	OTCQX
SSM:TSXV	Sunset Cove Mining Inc.		Mining	LIMA (BVL)
SUO:TSX	Sunshine Oilsands Ltd.		 Oil & Gas 	 HKEx
SGM:TSXV	Sutter Gold Mining Inc.		Mining	OTCQX
SY:TSXV	Symbility Solutions Inc.		Technology	OTCQX
THO:TSX	Tahoe Resources Inc.	TAHO:US	 Mining 	 Lima (BVL)
THO:TSX	Tahoe Resources Inc.		 Mining 	 NYSE
TPN:TSXV	Taipan Resources Inc.		Oil & Gas	OTCQX
TNX:TSX	Tanzanian Royalty Exploration Corporation	TRX:US	 Mining 	 NYSE MKT
TKO:TSX	Taseko Mines Limited	TGB:US	 Mining 	 NYSE MKT
TSM:TSXV	Tasman Metals Ltd.		Mining	NYSE MKT
TLB:TSX	TearLab Corporation	TEAR:US	 Life Sciences 	 NasdaqCM
TCK.B:TSX	Teck Resources Limited	TCK:US	 Mining 	 NYSE
TST:TSX	Telesta Therapeutics Inc.		 Life Sciences 	 ASX
T:TSX	TELUS Corporation	TU:US	 Comm & Media 	 NYSE
TEM:TSXV	Tembo Gold Corp.		Mining	OTCQX
TGZ:TSX	Teranga Gold Corporation		 Mining 	 ASX
TRA:TSXV	Teras Resources Inc.		Mining	OTCQX
TGC:TSXV	Terra Nova Energy Ltd.		Oil & Gas	OTCQX
TZR:TSXV	Terrace Energy Corp.		Oil & Gas	OTCQX
TPL:TSX	Tethys Petroleum Limited		 Oil & Gas 	 LSE
TCM:TSX	Thompson Creek Metals Company Inc.	TC:US	 Mining 	 NYSE
TRI:TSX	Thomson Reuters Corporation	TRI:US	 Comm & Media 	 NYSE
TBR:TSXV	Timberline Resources Corporation		Mining	NYSE MKT
TMM:TSX	Timmins Gold Corp.	TGD:US	 Mining 	 NYSE MKT
TAU:TSXV	Tintina Resources Inc.		Mining	OTCQX
TXX:TSXV	Tirex Resources Ltd.		Mining	OTCQX
TD:TSX	Toronto-Dominion Bank (The)	TD:US	 Financial Services 	 NYSE
TA:TSX	TransAlta Corporation	TAC:US	 Utilities & Pipelines 	 NYSE
TNP:TSX	TransAtlantic Petroleum Ltd.	TAT:US	 Oil & Gas 	 NYSE MKT
TRP:TSX	TransCanada Corporation	TRP:US	 Utilities & Pipelines 	 NYSE
TFI:TSX	TransForce Inc.		 Diversified Industries 	 OTCQX
TGL:TSX	TransGlobe Energy Corporation	TGA:US	 Oil & Gas 	 NasdaqGM
TTH:TSX	Transition Therapeutics Inc.	TTHI:US	 Life Sciences 	 NasdaqGM
TV:TSX	Trevali Mining Corporation		 Mining 	 OTCQX
TV:TSX	Trevali Mining Corporation		 Mining 	 Lima (BVL)
TRX:TSXV	Tribute Pharmaceuticals Canada Inc.		Life Sciences	OTCQX
TR:TSX	Trillium Therapeutics Inc.	TRIL:US	 Life Sciences 	NasdaqCM
TMI:TSX	TriMetals Mining Inc.		 Mining 	 OTCQX
TGM:TSXV	True Gold Mining Inc.		Mining	OTCQX
TRM:TSXV	Trueclaim Exploration Inc.		Mining	OTCQX
TC:TSX	Tucows Inc.	TCX:US	 Technology 	 NYSE MKT
TRQ:TSX	Turquoise Hill Resources Ltd.	TRQ:US	 Mining 	 NYSE
TVI:TSX	TVI Pacific Inc.		 Mining 	 OTCQX
GTH:TSX	U.S. Geothermal Inc.	HTM:US	 Clean Technology 	 NYSE MKT
UWE:TSX	U3O8 Corp.		 Mining 	 OTCQX
UCU:TSXV	Ucore Rare Metals Inc.		Mining	OTCQX
URE:TSX	Ur-Energy Inc.	URG:US	 Mining 	 NYSE MKT
VRX:TSX	Valeant Pharmaceuticals International Inc.	VRX:US	 Life Sciences 	 NYSE
VRB:TSXV	Vanadiumcorp Resource Inc.		Mining	OTCQX
VEM:TSX	Vena Resources Inc.		 Mining 	 Lima (BVL)
VPT:TSXV	VentriPoint Diagnostics Ltd.		Life Sciences	OTCQX
VRS:TSXV	Verisante Technology Inc.		Life Sciences	OTCQX
VET:TSX	Vermilion Energy Inc.	VET:US	 Oil & Gas 	 NYSE
VR:TSXV	Victory Resources Corporation		Mining	OTCQX
VFF:TSX	Village Farms International Inc.		 Clean Technology 	 OTCQX
VUI:TSXV	Virginia Energy Resources Inc.		Mining	OTCQX
VGZ:TSX	Vista Gold Corp.	VGZ:US	 Mining 	 NYSE MKT
WEE:TSXV	Wavefront Technology Solutions Inc.		Clean Technology	OTCQX
WAF:TSXV	West African Resources Limited		Mining	ASX
WRN:TSX	Western Copper and Gold Corporation	WRN:US	 Mining 	 NYSE MKT
WLC:TSX	Western Lithium USA Corporation		 Mining 	 OTCQX
WMR:TSXV	Westminster Resources Ltd.		Mining	OTCQX
WPT:TSX	Westport Innovations Inc.	WPRT:US	 Clean Technology 	 NasdaqGM
WIN:TSX	Wi-LAN Inc.	WILN:US	 Technology 	 NasdaqGM
WIR.U:TSX	WPT Industrial Real Estate Investment Trust		 Real Estate 	 OTCQX
XEL:TSXV	Xcite Energy Limited		Oil & Gas	AIM
XME:TSXV	Xmet Inc.		Mining	OTCQX
YRI:TSX	Yamana Gold Inc.	AUY:US	 Mining 	 NYSE
YMI:TSX	Yellowhead Mining Inc.		 Mining 	 OTCQX
ZAZ:TSX	Zazu Metals Corporation		 Mining 	 OTCQX
ZEN:TSXV	Zenyatta Ventures Ltd.		Mining	OTCQX
